Lakers,Los Angeles,California,261
Hornets,Charlotte,North Carolina,25
Celtics,Boston,Mass,92
Rockets,Houston,Texas,42
Raptors,Toronto,,130
Nuggets,Denver,Colorado,15
Mavericks,Dallas,Texas,37
Nets,Brooklyn,New york,18
Supersonics,Seattle,Washington,78
Cavaliers,Cleveland,Ohio,244
Bulls,Chicago,Illinois,154
Pacers,Indianapolis,Indiana,29
NBA,,,130
Warriors,Oakland,California,653
Pistons,Detroit,Michigan,51
Blazers,Portland,Oregon,43
Clippers,Los Angeles,California,33
76ers,Philadelphia,Pennsylvania,44
Hawks,Atlanta,Georgia,32
West,,,29
Spurs,San Antonio,Texas,102
Knicks,New York,New york,107
Kings,Sacramento,California,33
Pelicans,New Orleans,Louisiana,40
Grizzlies,Memphis,Tennessee,16
Suns,Phoenix,Arizona,43
Wizards,"Washington, D.C",,90
Bandwagon,,,112
Heat,Miami,Florida,133
Thunder,Oklahoma,Oklahoma,85
Timberwolves,Minneapolis,Minnesota,69
Magic,Orlando,Florida,27
Bucks,Milwaukee,Wisconsin,23
